PRODUCT_NUM,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
00096849,FOOD                      ,DAIRY                     ,PRIVATE ,Y
00097461,FOOD                      ,DAIRY                     ,PRIVATE ,Y
00099858,FOOD                      ,DAIRY                     ,PRIVATE ,Y
03670194,FOOD                      ,DAIRY                     ,PRIVATE ,Y
03967438,FOOD                      ,DAIRY                     ,PRIVATE ,Y
04718699,FOOD                      ,DAIRY                     ,PRIVATE ,Y
00199015,FOOD                      ,DAIRY                     ,NATIONAL,Y
00450354,FOOD                      ,DAIRY                     ,NATIONAL,Y
02546552,FOOD                      ,DAIRY                     ,NATIONAL,Y
02803673,FOOD                      ,DAIRY                     ,NATIONAL,Y
02803693,FOOD                      ,DAIRY                     ,NATIONAL,Y
03678326,FOOD                      ,DAIRY                     ,NATIONAL,Y
05608308,FOOD                      ,DAIRY                     ,NATIONAL,Y
05767714,FOOD                      ,DAIRY                     ,NATIONAL,Y
06500662,FOOD                      ,DAIRY                     ,NATIONAL,Y
00006532,FOOD                      ,BAKERY                    ,PRIVATE ,N
00006533,FOOD                      ,BAKERY                    ,PRIVATE ,N
00071987,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072144,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072183,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072305,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072619,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072659,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072783,FOOD                      ,BAKERY                    ,PRIVATE ,N
00074780,FOOD                      ,BAKERY                    ,PRIVATE ,N
00074781,FOOD                      ,BAKERY                    ,PRIVATE ,N
00075877,FOOD                      ,BAKERY                    ,PRIVATE ,N
00076636,FOOD                      ,BAKERY                    ,PRIVATE ,N
00079149,FOOD                      ,BAKERY                    ,PRIVATE ,N
00088079,FOOD                      ,BAKERY                    ,PRIVATE ,N
00096911,FOOD                      ,BAKERY                    ,PRIVATE ,N
00096929,FOOD                      ,BAKERY                    ,PRIVATE ,N
00099552,FOOD                      ,BAKERY                    ,PRIVATE ,N
00099589,FOOD                      ,BAKERY                    ,PRIVATE ,N
00099848,FOOD                      ,BAKERY                    ,PRIVATE ,N
00100118,FOOD                      ,BAKERY                    ,PRIVATE ,N
00102068,FOOD                      ,BAKERY                    ,PRIVATE ,N
00103986,FOOD                      ,BAKERY                    ,PRIVATE ,N
02453720,FOOD                      ,BAKERY                    ,PRIVATE ,N
02463629,FOOD                      ,BAKERY                    ,PRIVATE ,N
02476430,FOOD                      ,BAKERY                    ,PRIVATE ,N
04056901,FOOD                      ,BAKERY                    ,PRIVATE ,N
04726202,FOOD                      ,BAKERY                    ,PRIVATE ,N
05150347,FOOD                      ,BAKERY                    ,PRIVATE ,N
05164901,FOOD                      ,BAKERY                    ,PRIVATE ,N
05246448,FOOD                      ,BAKERY                    ,PRIVATE ,N
05307273,FOOD                      ,BAKERY                    ,PRIVATE ,N
06595777,FOOD                      ,BAKERY                    ,PRIVATE ,N
06755074,FOOD                      ,BAKERY                    ,PRIVATE ,N
07005433,FOOD                      ,BAKERY                    ,PRIVATE ,N
00147004,FOOD                      ,BAKERY                    ,NATIONAL,N
00147015,FOOD                      ,BAKERY                    ,NATIONAL,N
00147034,FOOD                      ,BAKERY                    ,NATIONAL,N
00147326,FOOD                      ,BAKERY                    ,NATIONAL,N
00147532,FOOD                      ,BAKERY                    ,NATIONAL,N
00147580,FOOD                      ,BAKERY                    ,NATIONAL,N
00318520,FOOD                      ,BAKERY                    ,NATIONAL,N
00321314,FOOD                      ,BAKERY                    ,NATIONAL,N
00321322,FOOD                      ,BAKERY                    ,NATIONAL,N
00321329,FOOD                      ,BAKERY                    ,NATIONAL,N
00321336,FOOD                      ,BAKERY                    ,NATIONAL,N
00321344,FOOD                      ,BAKERY                    ,NATIONAL,N
00321350,FOOD                      ,BAKERY                    ,NATIONAL,N
00321399,FOOD                      ,BAKERY                    ,NATIONAL,N
00321435,FOOD                      ,BAKERY                    ,NATIONAL,N
00321559,FOOD                      ,BAKERY                    ,NATIONAL,N
00368220,FOOD                      ,BAKERY                    ,NATIONAL,N
00697858,FOOD                      ,BAKERY                    ,NATIONAL,N
00697962,FOOD                      ,BAKERY                    ,NATIONAL,N
00698567,FOOD                      ,BAKERY                    ,NATIONAL,N
00750010,FOOD                      ,BAKERY                    ,NATIONAL,N
00750075,FOOD                      ,BAKERY                    ,NATIONAL,N
00750086,FOOD                      ,BAKERY                    ,NATIONAL,N
00750087,FOOD                      ,BAKERY                    ,NATIONAL,N
00750113,FOOD                      ,BAKERY                    ,NATIONAL,N
00786559,FOOD                      ,BAKERY                    ,NATIONAL,N
00786560,FOOD                      ,BAKERY                    ,NATIONAL,N
00852255,FOOD                      ,BAKERY                    ,NATIONAL,N
00906683,FOOD                      ,BAKERY                    ,NATIONAL,N
00918325,FOOD                      ,BAKERY                    ,NATIONAL,N
00929790,FOOD                      ,BAKERY                    ,NATIONAL,N
00929957,FOOD                      ,BAKERY                    ,NATIONAL,N
00953665,FOOD                      ,BAKERY                    ,NATIONAL,N
00959525,FOOD                      ,BAKERY                    ,NATIONAL,N
00974882,FOOD                      ,BAKERY                    ,NATIONAL,N
00975077,FOOD                      ,BAKERY                    ,NATIONAL,N
