product_num,department,commodity,brand_ty,natural_organic_flag
06179552                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
06785910                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
06788515                        ,FOOD                      ,DAIRY                     ,PRIVATE ,Y
02492171                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
02803659                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
02803673                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
02803674                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
03678326                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
04113220                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
04849093                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
06454795                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
06687687                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
06971421                        ,FOOD                      ,DAIRY                     ,NATIONAL,Y
00006533                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00071979                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00071987                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072144                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072277                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072424                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072566                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00072659                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00073931                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00074780                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00075628                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00077078                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00078122                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00078890                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00088079                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00096911                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00096929                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00099552                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00099589                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00100217                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00102064                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00654814                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00655359                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
02500913                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
03678356                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
03757257                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
04036174                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
04050571                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
04056901                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
04180655                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
04441869                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05113888                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05164901                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05246445                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05264309                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05307258                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05307273                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
05307274                        ,FOOD                      ,BAKERY                    ,PRIVATE ,N
00109284                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00147004                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00147034                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00147153                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00147328                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00147580                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00318520                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00318521                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00318533                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00318620                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321322                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321325                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321329                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321330                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321336                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321344                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00321635                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00697858                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750010                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750050                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750086                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750087                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750088                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750106                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750108                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00750113                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00772447                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00786559                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00786607                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00813420                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00852255                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00852331                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00852333                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00852334                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00852335                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00906683                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00917058                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00918325                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00929790                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00935800                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00959525                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00964993                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00965006                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00965028                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
00975077                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
01082980                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
02544987                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
02952195                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
02952209                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
03168863                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
03807108                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
03816995                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04044116                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04100370                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04330316                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04535137                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04713086                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04825702                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
04826125                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05040581                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05114373                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05125132                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05171796                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05191529                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05224272                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05313024                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05340633                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05340640                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05340645                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05390315                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05515945                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05523417                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
05991623                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06080036                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06376243                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06449304                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06481244                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06489596                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06549874                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06628256                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06702417                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06774904                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06775643                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06776918                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06776919                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06778532                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06826962                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06848792                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06927531                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
06928692                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
07019871                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
07047850                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
07103905                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
07173989                        ,FOOD                      ,BAKERY                    ,NATIONAL,N
